Company,Contact,Focus,Fit
ENS,vitalik@ethereum.org,Naming Systems,VOIDs
Unstoppable Domains,matthew@unstoppable.com,Web3 Identity,SOULs
Ceramic Network,hello@ceramic.network,Decentralized Identity,VOIDs
Lens Protocol,team@lens.xyz,Social Graphs,SOULs
Zora,labs@zora.co,Creator Protocols,VOIDs
Tally,tally@tally.xyz,DAO Governance,PROXY
Aragon,founders@aragon.org,DAO Frameworks,PROXY
Gnosis Safe,support@gnosis.io,Smart Contract Wallets,PROXY
OpenZeppelin,security@openzeppelin.com,Smart Contract Standards,PROXY
Autonolas,hello@autonolas.network,Autonomous Agents,PROXY
